,,,Presentation,1 (less so) -- 5 (more so),1 (less so) -- 5 (more so),1 (weaker) -- 5 (stronger),1 (less so) -- 5 (more so),1 (less so) -- 5 (more so),1 (low) -- 5 (high),Please provide constructive feedback for your peers!,,,
Grader,Presenter,Class Day,Order Position,Engaging Presentation,Visually Attractive ,Explains article well,Fairly characterizes evidence strength,Avoids Personal Bias,Data Presentation Quality ,"Score Justifications: explanations related comments (reactions, thoughts, etc.)",,,
first_last,first_last,[13-16],1,[1-5],[1-5],[1-5],[1-5],[1-5],[1-5],"regarding ""stats people"" it seemas you overly favor them? ",,,
,,[13-16],2,[1-5],[1-5],[1-5],[1-5],[1-5],[1-5],,,,
,,[13-16],3,[1-5],[1-5],[1-5],[1-5],[1-5],[1-5],,,,
,,[13-16],4,[1-5],[1-5],[1-5],[1-5],[1-5],[1-5],,,,
,,[13-16],etc.,[1-5],[1-5],[1-5],[1-5],[1-5],[1-5],,,,
,,[13-16],for a given day,[1-5],[1-5],[1-5],[1-5],[1-5],[1-5],,,,
,,[13-16],,[1-5],[1-5],[1-5],[1-5],[1-5],[1-5],,,,
,,[13-16],1,[1-5],[1-5],[1-5],[1-5],[1-5],[1-5],,,,
,,[13-16],2,[1-5],[1-5],[1-5],[1-5],[1-5],[1-5],,,,
,,[13-16],3,[1-5],[1-5],[1-5],[1-5],[1-5],[1-5],,,,
,,[13-16],4,[1-5],[1-5],[1-5],[1-5],[1-5],[1-5],,,,
,,,etc.,,,,,,,,,,
,,,for the next day,,,,,,,,,,
,,,,,,,,5,4,4.5,5,5,5
,,,and so on,,,,,,,,,,
