Untitled
,Activity count,23
,Participant count,67
,Average responses,54.82608695652174

0-1 loss doesn't work for SGD because,Activity type,Multiple choice
,Total responses,64
,Unique participants,64
,Response options,Count,Percent,Correctness
,"If your value is 1 (e.g., at x=-1), there's no derivative (e.g., down is left or right?) that leads parameters in a direction where they achieve a value of 0",51,79.69,Correct
,"It does work, but just doesn't get used that much because it's numerically unstable (i.e., has a high condition number)",2,3.13,Incorrect
,"It does work, but just doesn't get used that much because it's gradients are unstable (i.e., has exploding and vanishing gradients)",11,17.19,Incorrect

Choose one of the following:,Activity type,Multiple choice
,Total responses,66
,Unique participants,66
,Response options,Count,Percent,Correctness
,"I pledge that all Poll Everywhere answers I submit today will (a) be my own and represent my own understandings, and (b) I will not contribute to other students' answers while the poll is active.",62,93.94,Correct
,I will not be taking this quiz for credit.,4,6.06,Incorrect

$$\sigma/\sqrt{n}$$ is,Activity type,Multiple choice
,Total responses,66
,Unique participants,66
,Response options,Count,Percent,Correctness
,the reason most optimization algorithms converge much faster (in terms of total computation) when allowed to approximate estimates of the gradient,51,77.27,Correct
,the central limit theorem,11,16.67,Incorrect
,"what introduces ""jitter"" (i.e., noise) in the gradient estimates that hurts regularization efforts",4,6.06,Incorrect

What differentiates a Machine Learning problem from an Optimization problem?,Activity type,Multiple choice
,Total responses,67
,Unique participants,67
,Response options,Count,Percent,Correctness
,Machine learning is interested in finding optimal $$\theta$$ for problems of the form $$y = f_\theta(x)$$,4,5.97,Incorrect
,"We are trying to optimizing $$E_{(x,y)\sim p_{data}} L(f(\theta; X), Y)$$ by instead optimizing $$E_{(x,y)\sim \hat p_{data}} L(f(\theta; X), Y) + \alpha\Omega(\theta)$$",51,76.12,Correct
,Machine Learning stops when the gradient of it's objective function is close to $$0$$,2,2.99,Incorrect
,Optimization is an analytical or computational task whereas Machine Learning is a predictive task,10,14.93,Incorrect

Which of the following IS NOT a challenge facing empirical risk minimization?,Activity type,Multiple choice
,Total responses,64
,Unique participants,64
,Response options,Count,Percent,Correctness
,High capacity models are prone to overfitting/training set memorize,1,1.56,Incorrect
,Surrogate loss functions only provide a proxy for the risk of interest,23,35.94,Incorrect
,Optimization for neural networks suffers greatly in big data contexts,39,60.94,Correct
,Vanishing gradients in neural networks stalls parameter updating,1,1.56,Incorrect

This figure shows that,Activity type,Multiple choice
,Total responses,67
,Unique participants,67
,Response options,Count,Percent,Correctness
,local minima are often the reason for poor neural network performance,4,5.97,Incorrect
,training has been effective despite not arriving at any local minima,63,94.03,Correct

